,fips,covid_case*,population,percent_age_65_and_older,majority_race,female_to_male,high_school_graduation_rate,median_household_income,percent_adults_with_obesity,percent_smokers,violent_crime_rate,o3_mean_pred,pm25_mean_pred,mean_temp,2016_pres_election,percent_drive_alone_to_work,date_stay_at_home_effective
947,20061,50.52099778970635,31670.0,7.6,4.0,0.8815243101182655,86.5,50856.0,38.7,22.3,484.2,39.4,8.6,67.7,1.0,86.5,0.0
948,20063,37.93626707132018,2636.0,24.4,4.0,0.9789473684210527,90.3,49626.0,28.7,14.4,,42.0,6.8,,1.0,67.7,0.0
949,20065,0.0,2482.0,,4.0,1.0165354330708662,,,,,,41.2,6.8,,1.0,,
950,20067,195.8041958041958,7150.0,10.8,4.0,0.897688145597639,84.0,61614.0,31.6,15.0,191.7,41.7,7.2,,1.0,82.0,0.0
951,20069,233.8009352037408,5988.0,14.6,4.0,0.9986684420772304,97.3,65771.0,31.0,14.5,156.6,41.7,7.3,63.0,1.0,80.7,0.0
952,20071,0.0,1232.0,,4.0,1.071917808219178,,,,,,42.4,6.6,,1.0,,
953,20073,50.150451354062184,5982.0,24.0,4.0,0.9951938481256007,97.4,43083.0,36.3,16.7,224.1,39.6,8.8,66.5,1.0,82.5,0.0
954,20075,433.24143363528947,2539.0,11.8,4.0,0.8979000724112962,100.0,51559.0,39.0,16.6,124.1,42.1,6.8,,1.0,66.7,0.0
955,20077,18.39587932303164,5436.0,21.5,4.0,0.962431693989071,82.2,45570.0,36.4,16.9,387.0,41.2,8.4,67.7,1.0,81.0,0.0
956,20079,40.66339423160708,34429.0,18.1,4.0,1.0382581100141044,88.9,57934.0,30.9,14.8,383.6,40.3,9.0,65.3,1.0,80.3,0.0
957,20081,403.22580645161287,3968.0,13.6,4.0,1.0253101736972705,92.5,60808.0,33.7,16.2,160.4,41.7,7.4,63.0,1.0,78.7,0.0
958,20083,0.0,1794.0,,4.0,1.0053475935828877,,,,,,41.8,7.2,,1.0,,
959,20085,212.58826209095741,13171.0,17.4,4.0,1.006023189278723,88.2,56330.0,37.9,16.0,176.4,38.6,9.1,65.8,1.0,82.2,0.0
960,20087,105.02546867615396,19043.0,17.5,4.0,0.9732105483465885,95.7,69246.0,34.9,16.5,198.7,38.5,9.4,65.8,1.0,84.9,0.0
961,20089,138.9371309482459,2879.0,27.7,4.0,0.991263440860215,90.9,44271.0,29.1,16.6,,38.9,7.5,63.8,1.0,79.0,0.0
962,20091,110.55758539577458,602401.0,12.7,4.0,1.0415831875388002,91.5,87087.0,27.1,10.6,157.0,37.3,9.5,61.9,1.0,84.8,0.0
963,20093,990.0990099009902,3838.0,14.0,4.0,1.0495307612095934,93.1,63248.0,34.7,16.0,242.5,41.9,7.2,,1.0,77.0,0.0
964,20095,0.0,7152.0,,4.0,0.9754889178617993,,,,,,41.1,8.2,,1.0,,
965,20097,80.8080808080808,2475.0,19.2,4.0,1.0520325203252032,51.1,64399.0,29.9,15.4,39.2,41.2,7.3,67.5,1.0,80.7,0.0
966,20099,117.2392700581099,19618.0,17.9,4.0,1.026523368171958,94.6,44571.0,37.3,19.2,426.0,38.8,9.6,69.0,1.0,85.1,0.0
967,20101,0.0,1535.0,,4.0,0.9699074074074074,,,,,,42.1,7.0,,1.0,,
968,20103,1285.5011130409255,81758.0,12.6,4.0,0.8637185599210916,90.7,70807.0,36.8,18.1,416.9,38.1,9.6,63.7,1.0,83.1,0.0
969,20105,0.0,2962.0,,4.0,1.007073954983923,,,,,,39.8,7.7,,1.0,,
970,20107,72.14263629805214,9703.0,20.4,4.0,1.0033382015439183,88.0,47153.0,40.0,18.4,119.6,38.5,9.2,,1.0,81.6,0.0
971,20109,0.0,2794.0,,4.0,0.998567335243553,,,,,,42.1,6.7,,1.0,,
972,20111,1081.48817593011,33195.0,13.4,4.0,1.060129910300031,91.5,47982.0,39.2,18.2,175.0,39.1,8.8,66.5,1.0,79.0,0.0
973,20113,91.09382664144069,28542.0,19.2,4.0,1.0221941283888187,91.6,58017.0,30.8,13.6,145.8,40.3,8.5,66.6,1.0,82.1,0.0
974,20115,58.902726354762706,11884.0,22.5,4.0,1.0155077538769384,86.4,51712.0,40.0,15.4,99.5,40.1,8.6,65.3,1.0,77.5,0.0
975,20117,0.0,9707.0,,4.0,0.9969617176422929,,,,,,38.5,8.6,,1.0,,
976,20119,545.4996280684354,4033.0,17.9,4.0,0.9856680536292187,92.0,67220.0,34.9,16.0,,41.7,7.1,71.8,1.0,72.4,0.0
977,20121,17.524899962029384,34237.0,15.5,4.0,1.0405940594059406,92.5,71770.0,35.4,15.0,204.1,38.0,9.3,63.6,1.0,83.2,0.0
